modelo_datos,validacion,clasificador,fold,fold_id,particion,fila_preparada,fila_fuente_csv,estacion,clase
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,0,39,7230,Brotación / desarrollo foliar
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,1,40,7230,Floración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,2,41,7230,Envero / maduración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,3,42,7230,Brotación / desarrollo foliar
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,4,43,7230,Floración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,5,44,7230,Envero / maduración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,6,45,7230,Brotación / desarrollo foliar
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,7,46,7230,Floración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,8,47,7230,Envero / maduración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,9,48,7230,Brotación / desarrollo foliar
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,10,49,7230,Floración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,11,50,7230,Envero / maduración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,12,51,7230,Floración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,13,52,7230,Envero / maduración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,15,54,7230,Floración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,16,55,7230,Brotación / desarrollo foliar
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,17,56,7230,Floración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,19,58,7230,Brotación / desarrollo foliar
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,21,60,7230,Envero / maduración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,22,61,7230,Brotación / desarrollo foliar
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,23,62,7230,Floración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,24,63,7230,Brotación / desarrollo foliar
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,25,64,7230,Floración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,26,65,7230,Envero / maduración
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,27,66,7230,Brotación / desarrollo foliar
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,train,28,67,7230,Floración
