modelo_datos,validacion,clasificador,n_folds,accuracy_promedio,accuracy_desviacion,f1_macro_promedio,f1_macro_desviacion,f1_weighted_promedio,f1_weighted_desviacion,tiempo_entrenamiento_promedio_segundos,tiempo_entrenamiento_desviacion_segundos,tiempo_inferencia_promedio_segundos,tiempo_inferencia_desviacion_segundos,tiempo_total_promedio_segundos,tiempo_total_desviacion_segundos
a,aleatoria,random_forest,5,0.9009886473126387,0.035820884440678866,0.8953456178306467,0.04245564740833643,0.9001945497273729,0.037262200944168454,0.49966335999979494,0.008593972769393,0.06951372000003175,0.0007666230409867744,0.5691770799998267,0.008580608717208718
a,aleatoria,red_densa,5,0.805688911231201,0.019541145836909975,0.8004366641735308,0.02239611278587813,0.8038018247879855,0.018147345202412457,6.140655020000122,0.15456476811932696,0.11865391999963322,0.0015084769327015056,6.259308939999755,0.15542235419940242
a,por_estacion,random_forest,5,0.8346299027206735,0.13726734207631164,0.7204350871824743,0.11423188916818808,0.8387859811339637,0.12990570828562106,0.4928748400001496,0.005720154111625312,0.06438022000020283,0.0046224807485541605,0.5572550600003524,0.0073774368125506
a,por_estacion,red_densa,5,0.7492042890623012,0.12891487540954266,0.6415943825001275,0.13913199024549286,0.7471544104986156,0.13484766324828198,6.001966660000107,0.4389328907235617,0.10945694000001822,0.01038887349177366,6.111423600000125,0.44327934111278583
aprima,aleatoria,random_forest,5,0.9148276659727042,0.03356911469653554,0.9030433373584567,0.02951380998309372,0.9148003729853663,0.03369367971304847,0.4969362599998931,0.014944924748271584,0.06253817999986495,0.004083614460771548,0.559474439999758,0.01869515409281057
aprima,aleatoria,red_densa,5,0.7840041637751561,0.04960322044918461,0.7769970095962451,0.053368834524475835,0.7795607707769779,0.05162514100719546,4.576073159999941,0.4043208756267881,0.11470610000033048,0.004006134379633968,4.690779260000272,0.404763074652651
aprima,por_estacion,random_forest,5,0.871256165077372,0.14424669508366023,0.7088155334063923,0.0880413722325695,0.8619857134549427,0.171494946204312,0.4846722599999339,0.010162930902424462,0.06000268000025244,0.0010537208513285296,0.5446749400001863,0.010812328974398497
aprima,por_estacion,red_densa,5,0.7180602815033843,0.09193626369396732,0.5701035499465779,0.06295894336360425,0.7059458660030554,0.11334647668512654,4.671612540000206,0.4703196704347389,0.1123676200000773,0.0024869289862991077,4.783980160000283,0.4712871367064202
b,aleatoria,random_forest,5,0.9133472125838538,0.03598056091740832,0.9093457011099593,0.036160687703953566,0.912620055317022,0.036446256952086566,0.49011765999966883,0.008255663167398264,0.06215121999994153,0.0045475731277481056,0.5522688799996104,0.007705522235069336
b,aleatoria,red_densa,5,0.7703099699282905,0.04514736791959123,0.76762535054296,0.04710348062001633,0.7672216118960559,0.04614467511687114,4.685511100000258,0.2544543472172394,0.11243866000022536,0.0021342290908754093,4.797949760000483,0.25297207597000954
b,por_estacion,random_forest,5,0.8524702804200672,0.14979974794301293,0.6918673543206438,0.09055592077350477,0.8414791727278713,0.176478636776591,0.48525403999992706,0.007731015174647191,0.05920368000006419,0.0053819063902139155,0.5444577199999913,0.009747756833016798
b,por_estacion,red_densa,5,0.691083286477345,0.09178319825674901,0.5464704803996109,0.05988768866672259,0.6788079833052425,0.12379289983105712,4.765638999999828,0.38876416808556175,0.11213277999995626,0.004740500436891539,4.877771779999785,0.38879787719571374
