modelo_datos,validacion,clasificador,fold,fold_id,n_train,n_test,estaciones_train,estaciones_test,clases_train,clases_test,clases_ausentes_train,clases_ausentes_test,accuracy,f1_macro,f1_weighted,tiempo_entrenamiento_segundos,tiempo_inferencia_segundos,tiempo_total_segundos,epocas_ejecutadas,early_stopping_detencion
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,219,40,40,5,5,,,0.7990867579908676,0.7940788267258855,0.799927880568493,6.220661299999847,0.11816229999931238,6.338823599999159,60.0,False
a,aleatoria,random_forest,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,219,40,40,5,5,,,0.9223744292237442,0.9267140450569474,0.9238729680001988,0.49262799999996787,0.06882980000045791,0.5614578000004258,,
a,aleatoria,red_densa,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,218,41,37,5,5,,,0.8165137614678899,0.8235891368519683,0.8125118023745124,6.08485280000059,0.1198076000000583,6.204660400000648,60.0,False
a,aleatoria,random_forest,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,218,41,37,5,5,,,0.8577981651376146,0.845665157735902,0.8548524824599274,0.49777329999960784,0.06887550000010378,0.5666487999997116,,
a,aleatoria,red_densa,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,218,41,36,5,5,,,0.8119266055045872,0.7919781834850327,0.8058084691175053,6.340863899999931,0.11927539999942383,6.460139299999355,60.0,False
a,aleatoria,random_forest,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,218,41,36,5,5,,,0.8807339449541285,0.8705578464870202,0.8794081300280712,0.490972900000088,0.0706796000004033,0.5616525000004913,,
a,aleatoria,red_densa,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,218,41,39,5,5,,,0.8256880733944955,0.8219939902199256,0.8248651306963092,5.926512299999558,0.116234600000098,6.042746899999656,56.0,True
a,aleatoria,random_forest,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,218,41,39,5,5,,,0.9495412844036697,0.9501714231988279,0.949741276386509,0.5060553999992408,0.0693634999997812,0.575418899999022,,
a,aleatoria,red_densa,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,218,41,38,5,5,,,0.7752293577981652,0.7705431835848414,0.7758958411831073,6.130384800000684,0.11978969999927358,6.250174499999957,60.0,False
a,aleatoria,random_forest,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,218,41,38,5,5,,,0.8944954128440367,0.8836196166745367,0.8930978917621581,0.5108872000000702,0.06982019999941258,0.5807073999994827,,
a,por_estacion,red_densa,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,168,34,7,5,4,,Floración,0.8273809523809523,0.658664303376984,0.8225161539172087,6.377677299999959,0.11587330000020302,6.493550600000162,60.0,False
a,por_estacion,random_forest,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,168,34,7,5,4,,Floración,0.9702380952380952,0.7762014577718503,0.9699958058297644,0.49318510000011884,0.06223610000051849,0.5554212000006373,,
a,por_estacion,red_densa,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,221,32,9,5,4,,Floración,0.8733031674208145,0.6920625686997368,0.8757677192466765,5.412321200000406,0.11375060000045778,5.526071800000864,52.0,True
