modelo_datos,validacion,clasificador,fold,fold_id,n_train,n_clases_presentes_train,clase_codificada,clase,frecuencia_train,peso_clase,peso_aplicado,estrategia,formula,calculado_solo_con_train
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,5,0,Brotación / desarrollo foliar,212,0.8226415094339623,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,5,1,Cosecha / post-cosecha,159,1.0968553459119497,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,5,2,Envero / maduración,215,0.8111627906976744,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,5,3,Floración,58,3.0068965517241377,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,5,4,Senescencia / caída de hojas,228,0.7649122807017544,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,5,0,Brotación / desarrollo foliar,212,0.8226415094339623,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,5,1,Cosecha / post-cosecha,159,1.0968553459119497,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,5,2,Envero / maduración,215,0.8111627906976744,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,5,3,Floración,58,3.0068965517241377,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,5,4,Senescencia / caída de hojas,228,0.7649122807017544,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,5,0,Brotación / desarrollo foliar,213,0.819718309859155,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,5,1,Cosecha / post-cosecha,159,1.0981132075471698,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,5,2,Envero / maduración,215,0.812093023255814,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,5,3,Floración,57,3.0631578947368423,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,red_densa,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,5,4,Senescencia / caída de hojas,229,0.7624454148471616,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,5,0,Brotación / desarrollo foliar,213,0.819718309859155,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,5,1,Cosecha / post-cosecha,159,1.0981132075471698,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,5,2,Envero / maduración,215,0.812093023255814,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
a,aleatoria,random_forest,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,5,3,Floración,57,3.0631578947368423,True,balanced_explicito,n_train / (n_clases_presentes_train * frecuencia_clase_train),True
