modelo_datos,validacion,clasificador,fold,fold_id,n_train,n_test,tiempo_entrenamiento_segundos,tiempo_inferencia_segundos,tiempo_total_segundos
a,aleatoria,red_densa,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,219,6.220661299999847,0.11816229999931238,6.338823599999159
a,aleatoria,random_forest,1,0E7D06E09C849E3E7D038CC6C24C97039EA40C4BD83B39C43E5D241ACC438BDB,872,219,0.49262799999996787,0.06882980000045791,0.5614578000004258
a,aleatoria,red_densa,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,218,6.08485280000059,0.1198076000000583,6.204660400000648
a,aleatoria,random_forest,2,A6A09E51DC076A6B091204CC8F1770EF41CCBEE01A3850BA9762250C2A5D0C64,873,218,0.49777329999960784,0.06887550000010378,0.5666487999997116
a,aleatoria,red_densa,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,218,6.340863899999931,0.11927539999942383,6.460139299999355
a,aleatoria,random_forest,3,4184DC754637AA6B520B6387DBC9DA193485E8C5CF81F27B4071BE250A35F49A,873,218,0.490972900000088,0.0706796000004033,0.5616525000004913
a,aleatoria,red_densa,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,218,5.926512299999558,0.116234600000098,6.042746899999656
a,aleatoria,random_forest,4,EF3142E1C3D5633D0273DAD5353BDEBB3BEB7A8A150362E1C6121A4DCAEDD8DC,873,218,0.5060553999992408,0.0693634999997812,0.575418899999022
a,aleatoria,red_densa,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,218,6.130384800000684,0.11978969999927358,6.250174499999957
a,aleatoria,random_forest,5,BFFB1ECA744313DF4B7209EDDD3ABCC5FA725D7415841FE4983C80C0FF326DB2,873,218,0.5108872000000702,0.06982019999941258,0.5807073999994827
a,por_estacion,red_densa,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,168,6.377677299999959,0.11587330000020302,6.493550600000162
a,por_estacion,random_forest,1,163C6D8E0B60998D85913BE660B3C8902B3910C0D46035C4F45C964DF5BECDD7,923,168,0.49318510000011884,0.06223610000051849,0.5554212000006373
a,por_estacion,red_densa,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,221,5.412321200000406,0.11375060000045778,5.526071800000864
a,por_estacion,random_forest,2,D68F9653A4F5581A001076994EB5E45EE05AAEB980F4B6C4A7DD4BAFC479388A,870,221,0.4852262000003975,0.06975400000010268,0.5549802000005002
a,por_estacion,red_densa,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,352,5.67957750000005,0.09107729999959702,5.770654799999647
a,por_estacion,random_forest,3,C1943284B80E3EF7ABAC6BEC7FC47C5A885D92313C9E42E541009A614B79BAF0,739,352,0.493594700000358,0.06063559999984136,0.5542303000001993
a,por_estacion,red_densa,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,116,6.4006116000000475,0.1117285999998785,6.512340199999926
a,por_estacion,random_forest,4,C4BAE8BB30D547C108AA870A131D36ED0DA42EDE9E047F58606C079FADB5117F,975,116,0.49119100000007165,0.06028800000058254,0.5514790000006542
a,por_estacion,red_densa,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,234,6.139645700000074,0.1148548999999548,6.2545006000000285
a,por_estacion,random_forest,5,F6C030BFCD52CA4141027C6B42572E417E6212FDFDDF005FB3E547FBF948A63C,857,234,0.5011771999998018,0.06898739999996906,0.5701645999997709
aprima,aleatoria,red_densa,1,2A16235335FC6E4578970F1A36436FE0735D6B24B1A1D4A01FCD599EABE48D35,525,132,4.3255583000000115,0.12054729999999836,4.44610560000001
